Transaction ID,Date,Customer ID,Quantity,Price per Unit,Total Amount,Retail Category,Product Name
1,2023-11-24,CUST001,3,36,108,Mi Instan,Indomie Goreng
2,2023-02-27,CUST002,2,38,76,Mi Instan,Mie Sedaap Soto
3,2023-01-13,CUST003,1,45,45,Snack,Taro
4,2023-05-21,CUST004,1,45,45,Snack,Taro
5,2023-05-06,CUST005,2,35,70,Sabun,Lifebuoy
6,2023-04-25,CUST006,1,35,35,Sabun,Lifebuoy
7,2023-03-13,CUST007,2,34,68,Mi Instan,Sarimi Ayam
8,2023-02-22,CUST008,4,32,128,Sabun,Lux
9,2023-12-13,CUST009,2,34,68,Mi Instan,Sarimi Ayam
10,2023-10-07,CUST010,4,58,232,Susu,Bear Brand
11,2023-02-14,CUST011,2,50,100,Snack,Qtela
12,2023-10-30,CUST012,3,38,114,Mi Instan,Mie Sedaap Soto
13,2023-08-05,CUST013,3,34,102,Mi Instan,Sarimi Ayam
14,2023-01-17,CUST014,4,60,240,Susu,Dancow
15,2023-01-16,CUST015,4,58,232,Susu,Bear Brand
16,2023-02-17,CUST016,3,45,135,Snack,Taro
17,2023-04-22,CUST017,4,40,160,Kopi,Good Day
18,2023-04-30,CUST018,2,52,104,Susu,Ultra Milk
19,2023-09-16,CUST019,2,34,68,Mi Instan,Sarimi Ayam
20,2023-11-05,CUST020,3,36,108,Mi Instan,Indomie Goreng
21,2023-01-14,CUST021,1,48,48,Minuman,Pocari Sweat
22,2023-10-15,CUST022,2,60,120,Susu,Dancow
23,2023-04-12,CUST023,4,52,208,Susu,Ultra Milk
24,2023-11-29,CUST024,1,45,45,Snack,Taro
25,2023-12-26,CUST025,1,32,32,Sabun,Lux
26,2023-10-07,CUST026,2,48,96,Minuman,Pocari Sweat
27,2023-08-03,CUST027,2,55,110,Snack,Chitato
28,2023-04-23,CUST028,1,50,50,Snack,Qtela
29,2023-08-18,CUST029,1,60,60,Susu,Dancow
30,2023-10-29,CUST030,3,42,126,Kopi,Kapal Api
31,2023-05-23,CUST031,4,55,220,Snack,Chitato
32,2023-01-04,CUST032,3,52,156,Susu,Ultra Milk
33,2023-03-23,CUST033,2,48,96,Minuman,Pocari Sweat
